Year,Year ending,Offence Subdivision,Offence Group,Offence Description,CSA Drug Type,Offence Count
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT TRAFFICK ALPRAZOLAM,Prescription,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT TRAFFICK GHB,GHB,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSP. TRAFFICK DRUG OF DEP. -PRES. DRUG,Prescription,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TO IMPORT TIER 1 GOODS,Not Recorded,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TRAFFICK CANNABIS,Cannabis,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMP COM QTY BORDER CONT DRUG-METHAMPHETA,Methylamphetamine,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT A BORDER CONTROLLED DRUG,Not Recorded,5
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTD DRUG-METHAMPHETAMINE,Methylamphetamine,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTROLLED DRUG - CANNABIS,Cannabis,3
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTROLLED DRUG - COCAINE,Cocaine,3
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT COMM QTY BORDER CONT DRUG-COCAINE,Cocaine,3
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT COMM QTY BORDER CONTROL PRECURSOR,Not Recorded,6
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT COMM QTY BORDER CONTROLLED DRUG,Not Recorded,4
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT MARK QTY BORDER CONTD DRUG-HEROIN,Heroin,3
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT MARKET QTY BORDER CONTROLLED DRUG,Not Recorded,6
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT MRK QTY BORDER CONT DRUG-COCAINE,Cocaine,5
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,INT PRMT USE OF LAND/PREM FOR CULT D.O.D,Not Recorded,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,POSS COMM QTY IMP BORD CONT DRUG-COCAINE,Cocaine,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,POSS MARK QTY BORD CONT DRUG-SUSP IMPORT,Not Recorded,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,POSS MARK QTY IMPORTED BORDER CONT DRUG,Not Recorded,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,POSSESS BORDER CONT DRUG-SUSPECT IMPORT,Not Recorded,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,"TRAF COMM QTY 1,4-BUTANEDIOL (1,4-BD)",GHB,21
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,"TRAFF COMM QTY MIXTURE CONTAIN (1,4-BD)",GHB,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK - EPHEDRINE,Other,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,"TRAFFICK 1,4-BUTANEDIOL (1,4-BD)",GHB,205
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ALPRAZOLAM,Prescription,56
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK AMPHETAMINE,Amphetamine,59
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ANABOLIC STEROIDS,Other,9
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK BUPRENORPHINE,Prescription,14
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK CANNABIS,Cannabis,606
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COCAINE,Cocaine,249
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - AMPHETAMINE,Amphetamine,5
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - CANNABIS,Cannabis,34
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - COCAINE,Cocaine,13
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - ECSTASY,Ecstasy,5
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - GHB,GHB,12
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - HEROIN,Heroin,37
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - KETAMINE,Other,9
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - PRESCRIBED DRUGS,Prescription,6
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - PSEUDOEPHEDRINE,Other,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - TETRAHYDRACANNIBANOL,Cannabis,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY-METHYLAMPHETAMINE,Methylamphetamine,107
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY-OTHER HALLUCINOGENIC,Other,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK CONTROLLED DRUG-METHAMPHETAMINE,Methylamphetamine,4
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DIAZEPAM,Prescription,20
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DIMETHYLAMPHETAMINE,Methylamphetamine,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPEND LARGE COMM QTY,Not Recorded,30
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,163
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE COMM QTY,Not Recorded,19
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE TO A CHILD,Not Recorded,12
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ECSTASY (MDMA/MDA/MDEA/MDA'S),Ecstasy,82
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK GHB,GHB,234
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK HEROIN,Heroin,263
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK KETAMINE,Other,66
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - AMPHETAMINE,Amphetamine,4
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - CANNABIS,Cannabis,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - COCAINE,Cocaine,26
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - ECSTASY,Ecstasy,11
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - HEROIN,Heroin,39
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - LSD,Other,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - PRESC DRUGS,Prescription,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY-OTHER HALLUCIN,Other,1
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY-PSEUDOEPHYDRINE,Other,3
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LGE COMM QTY - KETAMINE,Other,5
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LGE COMM QTY-METHYLAMPHETAMINE,Methylamphetamine,67
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LSD,Other,28
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK MDMA (ECSTASY),Ecstasy,24
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK METHYLAMPHETAMINE,Methylamphetamine,1224
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK OXYCODONE,Prescription,10
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK PSILOCYBIN,Other,4
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK SYNTHETIC CANNABINOID,Cannabis,2
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK TESTOSTERONE,Prescription,10
2023,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK TETRAHYDROCANNABINOL,Cannabis,9
2023,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,ATT CULTIVATE NARCOTIC PLANT-CANNABIS,Not Coded,2
2023,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULT NARC PLANT COMM QTY-CANNABIS,Not Coded,77
2023,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULT NARC PLANT COMM QTY-NOT CANNABIS,Not Coded,1
2023,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULT NARC PLANT LGE COMM QTY-CANNABIS,Not Coded,4
2023,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULTIVATE NARCOTIC PLANT-CANNABIS,Not Coded,803
2023,March,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,MANUF COMM QTY CONT DRUG-METHAMPHETAMINE,Not Coded,1
2023,March,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,MANUF MARK QTY CONT DRUG METHAMPHETAMINE,Not Coded,1
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSS MORE THAN 1 TYPE PRECURSOR CHEMICAL,Not Coded,1
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSS PRECURSOR CHEM-MORE THAN PRESCR QTY,Not Coded,18
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,"POSSESS 1,4-BUTANEDIOL",Not Coded,902
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS 1-PHENYL-2-PROPANOL,Not Coded,1
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS 1-PHENYL-2-PROPANONE (BMK),Not Coded,1
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS A CONTROLLED PRECURSOR,Not Coded,3
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS A TABLET PRESS,Not Coded,7
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS AMMONIA,Not Coded,2
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS EPHEDRINE,Not Coded,2
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS EQUIPMENT FOR TRAFFICKING D.O.D,Not Coded,26
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS FORMALDEHYDE,Not Coded,5
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS GAMMA BUTYROLACTONE,Not Coded,3
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS GAMMA HYDROXYBUTANOIC ACID,Not Coded,37
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS HYPOPHOSPHOROUS ACID,Not Coded,4
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS IODINE,Not Coded,10
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS LYSERGIC ACID,Not Coded,5
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS MATERIAL FOR TRAFFICKING D.O.D,Not Coded,4
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS METHYLAMINE,Not Coded,14
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS N-METHYL EPHEDRINE,Not Coded,1
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PHENYLALANINE,Not Coded,1
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PHOSPHOROUS ACID,Not Coded,1
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PHOSPHORUS,Not Coded,5
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PSEUDOEPHEDRINE,Not Coded,2
2023,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS SUBSTANCE FOR TRAFFICKING D.O.D,Not Coded,3
2023,March,C30 Drug use and possession,C31 Drug use,ATT. TO USE AMPHETAMINE,Amphetamine,4
2023,March,C30 Drug use and possession,C31 Drug use,"USE 1,4-BUTANEDIOL (1,4-BD)",GHB,6
2023,March,C30 Drug use and possession,C31 Drug use,USE AMPHETAMINE,Amphetamine,27
2023,March,C30 Drug use and possession,C31 Drug use,USE CANNABIS,Cannabis,69
2023,March,C30 Drug use and possession,C31 Drug use,USE COCAINE,Cocaine,7
2023,March,C30 Drug use and possession,C31 Drug use,USE DRUG OF DEPEND. -HALLUCINOGEN,Other,2
2023,March,C30 Drug use and possession,C31 Drug use,USE DRUG OF DEPEND. -PRESCRIPTION DRUG,Prescription,9
2023,March,C30 Drug use and possession,C31 Drug use,USE ECSTASY,Ecstasy,2
2023,March,C30 Drug use and possession,C31 Drug use,USE GHB,GHB,4
2023,March,C30 Drug use and possession,C31 Drug use,USE HEROIN,Heroin,7
2023,March,C30 Drug use and possession,C31 Drug use,USE LSD,Other,3
2023,March,C30 Drug use and possession,C31 Drug use,USE METHYLAMPHETAMINE,Methylamphetamine,48
2023,March,C30 Drug use and possession,C31 Drug use,USE OTHER DRUG OF DEPENDENCE,Not Recorded,21
2023,March,C30 Drug use and possession,C31 Drug use,USE SYNTHETIC CANNABINOID,Cannabis,2
2023,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS AMPHETAMINE,Amphetamine,2
2023,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS CANNABIS,Cannabis,5
2023,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS COCAINE,Cocaine,1
2023,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS DRUG OF DEP. -HALLUCINOGEN,Other,3
2023,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS DRUG OF DEP. -PRESCR. DRUG,Not Recorded,15
2023,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS DRUG OF DEPEND (NOT NAMED),Not Recorded,15
2023,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS HEROIN,Heroin,2
2023,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS METHYLAMPHETAMINE,Methylamphetamine,3
2023,March,C30 Drug use and possession,C32 Drug possession,"ATTEMPT POSSESS 1,4-BUTANEDIOL (1,4-BD)",GHB,36
2023,March,C30 Drug use and possession,C32 Drug possession,ATTEMPT TO POSSESS A DRUG OF DEPENDENCE,Not Recorded,6
2023,March,C30 Drug use and possession,C32 Drug possession,"POSSESS 1,4-BUTANEDIOL (1,4-BD)",GHB,453
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS 4-HYDROXYBUTANOIC ACID (GHB),GHB,118
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS A CONTROLLED DRUG,Not Recorded,9
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS A DRUG OF DEPENDENCE,Not Recorded,1013
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS A SCHEDULE 4 POISON,Prescription,530
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS A SCHEDULE 8 POISON,Not Recorded,84
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS A SCHEDULE 9 POISON,Not Recorded,1
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS ALPRAZOLAM,Prescription,194
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS AMPHETAMINE,Amphetamine,385
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS ANABOLIC STEROIDS,Other,137
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS BUPRENORPHINE,Prescription,42
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS CANNABIS,Cannabis,8021
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS CANNABIS (NOT TRAFFICKING),Cannabis,37
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS CLONAZEPAM,Prescription,22
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS COCAINE,Cocaine,798
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS COMMERCIAL QUANTITY - CANNABIS,Cannabis,1
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS CONTROLLED DRUG - CANNABIS,Cannabis,15
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS CONTROLLED DRUG - MDMA,Ecstasy,10
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS CRACK,Cocaine,3
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS DIAZEPAM,Prescription,268
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS DIMETHYLAMPHETAMINE,Methylamphetamine,6
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPEND. -HALLUCINOGEN,Other,113
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPEND. -PRESCRIPT DRUG,Prescription,3637
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPENDENCE - KETAMINE,Other,172
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,767
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS ECSTASY,Ecstasy,401
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS GHB,GHB,652
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS HEROIN,Heroin,799
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS LSD,Other,127
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS MDMA (ECSTASY),Ecstasy,173
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS METHYLAMPHETAMINE,Methylamphetamine,5454
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS MORPHINE,Prescription,11
2023,March,C30 Drug use and possession,C32 Drug possession,"POSSESS N, N-DIMETHYLTRYPTAMINE",Other,5
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS OXYCODONE,Prescription,48
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS PSEUDOEPHEDRINE,Other,1
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS PSILOCYBIN,Other,29
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS SYNTH CANNABINOID (AB-PINACA),Cannabis,3
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS SYNTHETIC CANNABINOID,Cannabis,25
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS TESTOSTERONE,Prescription,91
2023,March,C30 Drug use and possession,C32 Drug possession,POSSESS TETRAHYDROCANNABINOL,Cannabis,7
2023,March,C90 Other drug offences,C99 Other drug offences,ATT TO CAUSE PHARM. DISPENSE PRESCRIPT,Not Coded,7
2023,March,C90 Other drug offences,C99 Other drug offences,ATT TO INDUCE PHARM. DISPENSE PRESCRIPT,Not Coded,1
2023,March,C90 Other drug offences,C99 Other drug offences,CAUSE PHARM DISPENSE DRUG -FALSE REP,Not Coded,2
2023,March,C90 Other drug offences,C99 Other drug offences,CONSPIRE TO INTRODUCE DRUG OF DEPENDENCE,Not Coded,1
2023,March,C90 Other drug offences,C99 Other drug offences,DISPLAY A BONG KIT IN A RETAIL OUTLET,Not Coded,1
2023,March,C90 Other drug offences,C99 Other drug offences,INCLUDE FALSE INFORMATION IN SCRIPT,Not Coded,90
2023,March,C90 Other drug offences,C99 Other drug offences,INDUCE MP ADMINISTER DRUG OF DEPENDENCE,Not Coded,1
2023,March,C90 Other drug offences,C99 Other drug offences,MEDICAL PRAC ISSUE SCRIPT SCHED 8 POISON,Not Coded,90
2023,March,C90 Other drug offences,C99 Other drug offences,PERSON SELF-ADMINISTER SCHED 8 POISON,Not Coded,90
2023,March,C90 Other drug offences,C99 Other drug offences,POSS DOC-CONTAIN INSTRCTN FOR CULT D.O.D,Not Coded,1
2023,March,C90 Other drug offences,C99 Other drug offences,POSSESS SUBS/MAT/DOC/EQUP TRAFFICK D.O.D,Not Coded,31
2023,March,C90 Other drug offences,C99 Other drug offences,RETAIL OUTLET DISPLY CANNABIS WATER PIPE,Not Coded,1
2022,March,C10 Drug dealing and trafficking,C11 Drug dealing,INTRODUCE DRUG INTO REMAND CENTRE,Not Recorded,4
2022,March,C10 Drug dealing and trafficking,C11 Drug dealing,SELL DELETERIOUS SUBS. FOR INHALING,Not Recorded,1
2022,March,C10 Drug dealing and trafficking,C11 Drug dealing,SELL PSYCHOACTIVE SUBSTANCE,Other,4
2022,March,C10 Drug dealing and trafficking,C11 Drug dealing,SEND NARCOTIC SUBSTANCE IN POST-C'WEALTH,Not Recorded,2
2022,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY A CONTROLLED DRUG TO A CHILD,Not Recorded,6
2022,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY DOD TO CHILD - USE BY THAT CHILD,Not Recorded,43
2022,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY DOD TO CHILD-TO SUPPLY ANOR PERSN,Not Recorded,3
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT IMP COM QTY BORDER CONTROLLED DRUG,Not Recorded,3
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS COM QTY BORD CONT DRUG-METHAMPH,Methylamphetamine,3
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS COMM QTY BORDER CONTROLLED DRUG,Not Recorded,6
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS MARKETBL QTY BORDER CNTRLD DRUG,Not Recorded,11
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,"ATT TRAFF COMM QTY-MIX CONTAIN (1,4-BD)",GHB,3
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFF DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,1
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK AMPHETAMINE,Amphetamine,1
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK CANNABIS,Cannabis,4
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COCAINE,Cocaine,2
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG DEPEND LARGE COMM QTY,Not Recorded,5
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG DEPENDENCE COMM QTY,Not Recorded,1
2022,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG OF DEPENDENCE TO CHILD,Not Recorded,2
